block 32, total 14176, active 14162, size 340, leak 4815080.
block 1000, total 33000, active 13864, size 12, leak 166368.
block 32, total 14176, active 14153, size 340, leak 4812020.
block 1000, total 34000, active 14729, size 12, leak 176748.
block 32, total 14176, active 14164, size 340, leak 4815760.
block 1000, total 33000, active 14074, size 12, leak 168888.
block 32, total 14176, active 14155, size 340, leak 4812700.
block 1000, total 33000, active 14074, size 12, leak 168888.
block 32, total 14176, active 14155, size 340, leak 4812700.
block 1000, total 33000, active 14080, size 12, leak 168960.
block 32, total 14176, active 14155, size 340, leak 4812700.
block 1000, total 34000, active 14562, size 12, leak 174744.
block 32, total 14240, active 14217, size 340, leak 4833780.
block 1000, total 34000, active 14203, size 12, leak 170436.
block 32, total 14240, active 14220, size 340, leak 4834800.
block 32, total 14144, active 14143, size 340, leak 4808620.
block 32, total 14144, active 14143, size 340, leak 4808620.
block 32, total 14144, active 14143, size 340, leak 4808620.
block 1000, total 34000, active 14239, size 12, leak 170868.
block 200, total 2400, active 1465, size 48, leak 70320.
block 32, total 14176, active 14167, size 340, leak 4816780.
block 1000, total 34000, active 14133, size 12, leak 169596.
block 32, total 14176, active 14163, size 340, leak 4815420.
block 1000, total 34000, active 14109, size 12, leak 169308.
block 32, total 14144, active 14143, size 340, leak 4808620.
block 1000, total 34000, active 14109, size 12, leak 169308.
block 32, total 14176, active 14155, size 340, leak 4812700.
block 1000, total 34000, active 14117, size 12, leak 169404.
block 32, total 14176, active 14155, size 340, leak 4812700.
block 1000, total 34000, active 14751, size 12, leak 177012.
block 32, total 14240, active 14228, size 340, leak 4837520.
block 1000, total 34000, active 14109, size 12, leak 169308.
block 32, total 14176, active 14155, size 340, leak 4812700.
block 1000, total 34000, active 14190, size 12, leak 170280.
block 200, total 3000, active 1710, size 48, leak 82080.
block 32, total 14240, active 14219, size 340, leak 4834460.
block 1000, total 34000, active 14109, size 12, leak 169308.
block 32, total 14176, active 14155, size 340, leak 4812700.
block 1000, total 34000, active 14157, size 12, leak 169884.
block 32, total 14176, active 14165, size 340, leak 4816100.
block 1000, total 34000, active 14702, size 12, leak 176424.
block 32, total 14272, active 14264, size 340, leak 4849760.
block 1000, total 34000, active 14122, size 12, leak 169464.
block 32, total 14176, active 14166, size 340, leak 4816440.
block 1000, total 34000, active 14109, size 12, leak 169308.
block 32, total 14176, active 14152, size 340, leak 4811680.
block 1000, total 34000, active 14756, size 12, leak 177072.
block 32, total 14272, active 14244, size 340, leak 4842960.
block 1000, total 34000, active 14109, size 12, leak 169308.
block 32, total 14176, active 14152, size 340, leak 4811680.
block 1000, total 36000, active 16533, size 12, leak 198396.
block 32, total 14304, active 14287, size 340, leak 4857580.
block 1000, total 34000, active 14967, size 12, leak 179604.
block 200, total 4600, active 1416, size 48, leak 67968.
block 32, total 14304, active 14283, size 340, leak 4856220.
block 1000, total 34000, active 14109, size 12, leak 169308.
block 32, total 14176, active 14160, size 340, leak 4814400.
block 1000, total 35000, active 15578, size 12, leak 186936.
block 200, total 4000, active 1634, size 48, leak 78432.
block 32, total 14368, active 14346, size 340, leak 4877640.
block 1000, total 34000, active 14109, size 12, leak 169308.
block 32, total 14144, active 14143, size 340, leak 4808620.
block 1000, total 34000, active 14109, size 12, leak 169308.
block 32, total 14176, active 14156, size 340, leak 4813040.
block 1000, total 34000, active 14109, size 12, leak 169308.
block 32, total 14144, active 14143, size 340, leak 4808620.
block 1000, total 34000, active 14109, size 12, leak 169308.
block 32, total 14176, active 14166, size 340, leak 4816440.
block 1000, total 34000, active 14217, size 12, leak 170604.
block 32, total 14176, active 14163, size 340, leak 4815420.
block 1000, total 34000, active 14109, size 12, leak 169308.
block 32, total 14176, active 14156, size 340, leak 4813040.
block 1000, total 34000, active 14109, size 12, leak 169308.
block 32, total 14176, active 14150, size 340, leak 4811000.
block 1000, total 35000, active 15222, size 12, leak 182664.
block 200, total 4000, active 1930, size 48, leak 92640.
block 32, total 14304, active 14283, size 340, leak 4856220.
block 1000, total 34000, active 14109, size 12, leak 169308.
block 32, total 14144, active 14143, size 340, leak 4808620.
block 1000, total 34000, active 14109, size 12, leak 169308.
block 32, total 14176, active 14162, size 340, leak 4815080.
block 1000, total 34000, active 14109, size 12, leak 169308.
block 32, total 14176, active 14162, size 340, leak 4815080.
block 1000, total 34000, active 14109, size 12, leak 169308.
block 32, total 14144, active 14143, size 340, leak 4808620.
block 1000, total 34000, active 14109, size 12, leak 169308.
block 32, total 14176, active 14156, size 340, leak 4813040.
block 1000, total 34000, active 14109, size 12, leak 169308.
block 32, total 14176, active 14164, size 340, leak 4815760.
block 1000, total 34000, active 14131, size 12, leak 169572.
block 200, total 4400, active 1728, size 48, leak 82944.
block 32, total 14208, active 14191, size 340, leak 4824940.
block 1000, total 34000, active 14109, size 12, leak 169308.
block 32, total 14144, active 14143, size 340, leak 4808620.
block 1000, total 37000, active 17379, size 12, leak 208548.
block 32, total 14432, active 14415, size 340, leak 4901100.
block 1000, total 34000, active 14109, size 12, leak 169308.
block 32, total 14208, active 14184, size 340, leak 4822560.
block 1000, total 34000, active 14109, size 12, leak 169308.
block 32, total 14176, active 14154, size 340, leak 4812360.
block 1000, total 34000, active 14117, size 12, leak 169404.
block 32, total 14176, active 14166, size 340, leak 4816440.
block 1000, total 34000, active 14119, size 12, leak 169428.
block 200, total 2800, active 2061, size 48, leak 98928.
block 32, total 14176, active 14159, size 340, leak 4814060.
block 1000, total 34000, active 14133, size 12, leak 169596.
block 32, total 14176, active 14162, size 340, leak 4815080.
block 1000, total 34000, active 14109, size 12, leak 169308.
block 32, total 14176, active 14172, size 340, leak 4818480.
block 1000, total 34000, active 14131, size 12, leak 169572.
block 32, total 14144, active 14143, size 340, leak 4808620.
block 1000, total 34000, active 14131, size 12, leak 169572.
block 32, total 14176, active 14164, size 340, leak 4815760.
block 1000, total 34000, active 14131, size 12, leak 169572.
block 32, total 14176, active 14154, size 340, leak 4812360.
block 1000, total 34000, active 14117, size 12, leak 169404.
block 32, total 14176, active 14155, size 340, leak 4812700.
block 1000, total 34000, active 14117, size 12, leak 169404.
block 32, total 14176, active 14154, size 340, leak 4812360.
block 1000, total 34000, active 14113, size 12, leak 169356.
block 32, total 14176, active 14153, size 340, leak 4812020.
block 1000, total 34000, active 14113, size 12, leak 169356.
block 32, total 14176, active 14155, size 340, leak 4812700.
block 1000, total 34000, active 14204, size 12, leak 170448.
block 32, total 14208, active 14194, size 340, leak 4825960.
block 1000, total 34000, active 14155, size 12, leak 169860.
block 32, total 14176, active 14151, size 340, leak 4811340.
block 1000, total 34000, active 14171, size 12, leak 170052.
block 32, total 14176, active 14167, size 340, leak 4816780.
block 1000, total 34000, active 14164, size 12, leak 169968.
block 200, total 3200, active 1508, size 48, leak 72384.
block 32, total 14176, active 14158, size 340, leak 4813720.
block 1000, total 34000, active 14165, size 12, leak 169980.
block 32, total 14176, active 14158, size 340, leak 4813720.
block 1000, total 34000, active 14181, size 12, leak 170172.
block 32, total 14176, active 14157, size 340, leak 4813380.
block 1000, total 34000, active 14161, size 12, leak 169932.
block 32, total 14176, active 14156, size 340, leak 4813040.
block 1000, total 34000, active 14161, size 12, leak 169932.
block 32, total 14176, active 14157, size 340, leak 4813380.
